dt,state,confirmed
2020-03-23,AL,196
2020-03-23,AK,36
2020-03-23,AZ,253
2020-03-23,AR,197
2020-03-23,CA,1931
2020-03-23,CO,720
2020-03-23,CT,415
2020-03-23,DE,87
2020-03-23,D.C.,137
2020-03-23,FL,1141
2020-03-23,GA,1015
2020-03-23,HI,66
2020-03-23,ID,51
2020-03-23,IL,1285
2020-03-23,IN,259
2020-03-23,IA,105
2020-03-23,KS,82
2020-03-23,KY,124
2020-03-23,LA,1172
2020-03-23,ME,109
2020-03-23,MD,288
2020-03-23,MA,777
2020-03-23,MI,1328
2020-03-23,MN,262
2020-03-23,MS,320
2020-03-23,MO,183
2020-03-23,MT,37
2020-03-23,NE,52
2020-03-23,NV,245
2020-03-23,NH,101
2020-03-23,NJ,2844
2020-03-23,NM,83
2020-03-23,NY,21689
2020-03-23,NC,398
2020-03-23,ND,32
2020-03-23,OH,442
2020-03-23,OK,81
2020-03-23,OR,191
2020-03-23,PA,644
2020-03-23,RI,106
2020-03-23,SC,298
2020-03-23,SD,28
2020-03-23,TN,615
2020-03-23,TX,352
2020-03-23,UT,280
2020-03-23,VT,75
2020-03-23,VA,290
2020-03-23,WA,2221
2020-03-23,WV,20
2020-03-23,WI,416
2020-03-23,WY,26
